source,name,symbol,rate,cel_rate,date
celsius,TrueAUD,TAUD,0.0710,0.0895,"2022-02-28 11:00:16"
celsius,TrueAUD,TAUD,0.1002,0.1268,"2021-11-12 05:00:08"
celsius,TrueAUD,TAUD,0.0850,0.1073,"2021-12-17 11:00:18"
celsius,TrueAUD,TAUD,0.0888,0.1121,"2021-05-28 11:00:26"
celsius,TrueAUD,TAUD,0.1000,0.1265,"2021-04-26 11:00:24"
celsius,TrueAUD,TAUD,0.0253,0.0317,"2022-05-13 09:00:34"
celsius,"Bitcoin Cash",BCH,0.0125,0.0156,"2022-08-04 23:00:16"
celsius,"Bitcoin Cash",BCH,0.0512,0.0566,"2021-02-28 23:04:00"
celsius,"Bitcoin Cash",BCH,0.0512,0.0156,"2022-04-18 03:00:20"
gemini,"Bitcoin Cash",BCH,0.0512,NULL,"2022-03-16 00:00:00"
gemini,"Bitcoin Cash",BCH,0.0533,NULL,"2022-04-01 00:00:00"
gemini,"Bitcoin Cash",BCH,0.0001,NULL,"2022-11-16 17:00:17"
gemini,Tokemak,TOKE,0.0224,NULL,"2022-06-01 00:00:00"
gemini,Tokemak,TOKE,0.0001,NULL,"2022-11-16 17:00:17"
celsius,Badger,BADGER,0.0001,0.0001,"2022-05-20 11:00:39"
